Unnamed: 0,R0,SIR,SIRv2,SIRv025,SEIRi4,SEIRe1,SEIRe4,SEIRi4v025,SEIRe1v025,SEIRe4v025,COVID
0,1.0,64984.47293609605,103955.98259001922,49536.443011721916,61176.98260159045,226617.3969617374,227011.0704640891,50872.28736772856,197267.27039606724,199364.83145910408,42975.60021502441
1,1.125,74655.83245564337,119663.26155175587,56913.81078628882,69783.85871847345,257741.96255331687,257732.39011320806,57809.034718036564,223747.1154505303,225998.033823782,48739.58269842613
2,1.25,84775.23849924361,136174.2354011538,64634.54952337378,78645.47259362758,289582.3507444115,289040.49256519956,64892.00529706621,250677.18924654703,253051.5122589119,54600.34825566284
3,1.375,95386.22968474402,153575.6056903966,72732.18981054536,87777.36428452596,322172.2640562652,320958.23033232207,72127.49672142422,278073.0671941201,280538.7437610713,60561.20264336839
4,1.5,106539.01642494205,171968.90776736368,81245.42693558296,97196.54072023221,355547.84269578144,353509.8174855386,79522.2224218295,305951.14718458476,308473.86415496457,66625.62393415681
5,1.625,118291.91782012413,191474.1004135267,90219.23925372811,106921.6663321016,389747.90546444553,386720.9400126437,87083.34907523618,334328.70853947464,336871.71174851875,72797.27470490556
6,1.75,130713.20749952264,212234.3116220698,99706.32668233065,116973.2856946963,424814.2211831354,420618.8775890852,94818.53834623464,363223.9763371367,365747.87466480647,79080.0153220997
7,1.875,143883.51655366243,234422.21830837658,109768.98599795987,127374.08485181817,460791.8153921919,455232.6382077421,102735.99354710191,392656.19171675027,395118.7422287796,85477.91844490443
8,2.0,157899.0083538921,258248.78526113954,120481.59244913181,138149.19968506868,497729.3179752731,490593.10733236664,110844.51192883667,422645.6888389179,425001.5608329327,91995.28488241088
9,2.125,172875.64335263285,283975.4944945662,131933.93928574532,149326.58186768618,535679.3584397659,526733.2134963713,119153.54343885482,453213.97927376867,455414.4947586835,98636.66095967722
10,2.25,188955.01624371228,311931.8842790582,144235.81772346023,160937.43581031155,574699.0169153161,563688.1125720007,127673.2569293881,484383.84469372773,486376.6924905515,105406.85756818324
11,2.375,206312.51689710843,342541.42956627836,157523.43492722377,173016.74379423642,614850.3405692993,601495.3932942522,136414.61497988537,516179.4388713989,517908.35912935995,112310.97110063967
12,2.5,225169.0219605597,376361.0295028484,171968.63301917125,185603.90155218198,656200.9371667213,640195.3070511505,145389.45871429148,548626.400126494,550030.8355902298,119354.40649833938
13,2.625,245808.1252019873,414143.7067281628,187792.51756722567,198743.49340089253,698824.6600304269,679831.025461864,154610.60425944533,581751.9755332549,582766.6853627946,126542.90267214325
14,2.75,268602.3879670682,456943.1001829889,205286.2967279691,212486.24539005646,742802.4018293878,720448.9298751906,164091.95281610452,615585.1583959546,616139.7897170328,133882.56059663114
15,2.875,294054.9459727066,506298.3979965437,224844.45677029996,226890.20789904398,788223.0186266173,762098.9376562032,173848.61671505164,650156.8407304562,650175.4523608978,141379.87442199813
16,3.0,322868.6983584387,564587.777579955,247020.2290355179,242022.23732965614,835184.4107104349,804834.8710174068,183897.06432749864,685499.9827613651,684900.5146986153,149041.76600123325
17,3.125,356068.4230398322,635776.5593700133,272624.1532710811,257959.87252860673,883794.7932554138,848714.8752301862,194255.2873185133,721649.8017654226,720343.4830048148,156875.62329259198
18,3.25,395233.32859573886,727245.6355467503,302913.4422638796,274793.7392660033,934174.19828255,893801.8943684286,204942.9945093022,758643.982973019,756534.6690240473,164889.34317132953
19,3.375,442986.9296321252,855365.6979817552,339995.704831937,292630.6717851583,986456.2603580194,940164.2143513549,215981.83759571298,796522.9156935303,793506.3457331969,173091.37927247267
20,3.5,504185.8432478978,1070982.5265970158,387825.9772047507,311597.8244080042,1040790.3528867695,987876.0850431875,227395.6752187294,835329.9583740152,831292.9202722765,181490.79559129736
21,3.625,589502.647441581,2040680.9549634582,455298.8192350221,331848.17568766105,1097344.1609897085,1037018.4356359494,239210.88348256832,875111.7369521458,869931.1263659726,190097.32669346218
22,3.75,731421.5862662027,10128859.027343132,570906.9195992736,353568.03246063954,1156306.802610829,1087679.7006209607,251456.72308260418,915918.4816519516,909460.2389326314,198921.4455377237
23,3.875,1269402.086681588,10092138.934039002,6211289.567747795,376987.4745888637,1217892.6442987716,1139956.777519965,264165.77589778166,957804.4083238279,949922.3140235652,207974.44009622137
24,4.0,8440631.743103225,13947544.73947584,5185426.353781337,402395.2417669123,1282346.0058808012,1193956.1424315441,277374.4674420493,1000828.1515910309,991362.4577671931,217268.50017829536
25,4.125,8656104.736321714,9842144.596647302,5445327.193621685,430160.5419244783,1349947.0147063101,1249795.1556652244,291123.6962690495,1045053.2584848269,1033829.1286299675,226816.81613312374
26,4.25,8864816.588527167,12157376.99463537,6922931.859800454,460766.04265416635,1421018.9639273256,1307603.5977076693,305459.59772969363,1090548.75299692,1077374.4780729134,236633.6914364223
27,4.375,8163961.024368972,12649152.224993533,6378728.999618422,494859.72165875504,1495937.6637422654,1367525.4860704662,320434.4780381346,1137389.7841375973,1122054.7356094825,246734.67157282884
28,4.5,7473175.690726845,11427730.32529528,5841587.824345075,533340.2026018519,1575143.470629175,1429721.237004731,336107.96635393513,1185658.3727747079,1167930.645395767,257136.6921289051
29,4.625,9142625.34034699,9801945.567882886,7040695.42665034,577505.4288620902,1659156.9710818036,1494370.2537464297,352548.4489468755,1235444.2758912526,1215067.9628571123,267858.2496387552
30,4.75,8342881.947951917,10244259.852964904,5610765.872641146,629331.0851388975,1748599.7388207677,1561674.046447518,369834.87261106627,1286845.9911355444,1263538.0215388562,278919.59951038426
31,4.875,8156103.101406297,11402397.490032386,6282221.523980344,692043.9676116061,1844222.2719852612,1631860.0204935549,388059.037634526,1339971.92991155,1313418.3824446588,290342.9863529998
32,5.0,6811688.532700676,11705680.415644178,5246722.113221409,771468.7836757757,1946942.3135618828,1705186.1127573373,407328.5489993712,1394941.7941236312,1364793.580699547,302152.91328624566
