Unnamed: 0,R0,SIR,SIRv2,SIRv025,SEIRi4,SEIRe1,SEIRe4,SEIRi4v025,SEIRe1v025,SEIRe4v025,COVID
0,1.0,140569.6743931984,430763.1818792557,89728.68363419428,114662.12523468414,445336.6047941218,437449.6990053699,91136.27130318007,347617.7405470269,357594.49218638754,72376.42757887207
1,1.125,161955.2727343035,499287.45348043344,103300.49724496363,131159.06719282383,508201.9375938752,498443.2237233217,103989.69466609556,395763.3694553765,406838.6656312326,82538.342932087
2,1.25,184483.07099035018,572526.3555837738,117571.36392271359,148250.44345312752,572987.6925629328,561089.3911851109,117232.46074861567,445125.38070860074,457250.5146613151,92995.25323069806
3,1.375,208281.99678212043,651176.8939942681,132617.2262329158,165980.69899015638,639814.907746411,625480.2594949871,130888.89546483116,495766.8338673221,508886.76276325475,103764.79893299128
4,1.5,233504.11968524574,736103.0672611392,148527.116324367,184399.45764011287,708816.4375308269,691715.7996183271,144985.67825390396,547755.822970149,561808.3698156929,114866.25172308013
5,1.625,260330.54419005814,828393.8784064038,165406.34847109477,203562.35933796447,780138.5426236405,759904.8290664055,159552.1558303726,601166.0271357769,616080.9647428617,126320.72204563559
6,1.75,288979.30671944446,929448.9540441937,183380.74850282253,223532.0736957633,853942.7568000162,830166.0874916231,174620.7100252285,656077.3385577028,671775.3348510028,138151.40073276384
7,1.875,319716.1546165796,1041109.2109698548,202602.35248914093,244379.5364594147,930408.0903206682,902629.4808895421,190227.19130896125,712576.5813240379,728967.9809993362,150383.84167245938
8,2.0,352869.56928250217,1165864.3925030192,223257.2331933627,266185.47037139157,1009733.6456192636,977437.5271534122,206411.43259333074,770758.3372960837,787741.7495289097,163046.29417904353
9,2.125,388852.2115163763,1307199.066252018,245576.48514641263,289042.2727425074,1092141.7414348016,1054747.0433953747,223217.86183917208,830725.898768656,848186.5540474133,176170.0959360386
10,2.25,428192.394152029,1470205.2516480363,269852.03343087033,313056.3812372509,1177881.6688030586,1134731.1252407832,240696.23718641076,892592.3720088631,910400.2028521688,189790.14026087816
11,2.375,471581.79404876946,1662753.9469843411,296460.05481945,338351.2710543575,1267234.23874785,1217581.480902723,258902.53524134168,956481.9612886485,974489.3511052278,203945.43522586138
12,2.5,519950.62776425865,1897976.9660312014,325896.8832370005,365071.29717386136,1360517.3307720174,1303511.1991956446,277900.0324829857,1022531.4700379125,1040570.6010352494,218679.77719399022
13,2.625,574591.7588086281,2200339.3879052335,358836.34840987704,393386.6847709978,1458092.7186570466,1392758.0520490508,297760.6324701297,1090892.0647219215,1108771.7786693478,234042.56806890253
14,2.75,637377.7559853968,2624187.360678337,396226.0083884161,423500.10583829356,1560374.5435295303,1485588.4603682102,318566.5090989864,1161731.3586265715,1179233.4222154801,250089.81470310647
15,2.875,711169.408088014,3338884.817642629,439458.9774296889,455655.48834764794,1667839.935534871,1582302.2898466208,340412.16076176666,1235235.887805801,1252110.5256461208,266885.36146893475
16,3.0,800662.6589356598,6677207.239852223,490706.13013544126,490150.0340690768,1781042.4730265762,1683238.6942942638,363407.00522295374,1311614.0712310148,1327574.5918630748,284502.42447716976
17,3.125,914397.16304934,41166433.53423263,553630.4670455115,527350.9584815181,1900629.4404988438,1788783.2936352934,387678.69555137167,1391099.7734140826,1405816.0638404808,303025.5206098036
18,3.25,1070590.3982940782,39249469.06701392,635173.691000994,567719.3706283472,2027364.2492342577,1899377.0699801838,413377.4117674509,1473956.622914984,1487047.2204493866,322552.9199350726
19,3.375,1321325.23732769,38941235.00959715,751213.8318270043,611845.2910074495,2162155.9925809465,2015527.5001628674,440681.4943932574,1560483.2877473235,1571505.6477961682,343199.8017352283
20,3.5,2025969.2340174282,38340179.14536284,954633.3941016367,660500.688843395,2306099.046582175,2137822.6353220176,469804.95719018555,1651019.9739638555,1659458.429029052,365102.37121729896
21,3.625,15278039.368985493,41931460.74844249,10483906.37044825,714722.9554558351,2460527.113812088,2266949.1163020446,501007.6854057987,1745956.5043764801,1751207.238789971,388423.3106992942
22,3.75,13375720.117560903,38840914.79397516,10139527.947333697,775952.5231118022,2627088.532591566,2403715.523731694,534609.5607921424,1845742.462135643,1847094.5873244568,413359.1205813406
23,3.875,17746234.66392432,34710588.62001317,8520963.972155185,846273.1459957317,2807853.7569517125,2549083.078407789,571010.4802806333,1950900.0667625095,1947511.5403558726,440150.19522668177
24,4.0,12846477.335738074,36488565.9598051,11082193.628033359,928863.1304742153,3005473.0522193653,2704206.656175455,610719.4901425717,2062040.7164560389,2052907.3541272576,469094.9555805545
25,4.125,15718507.16380051,38491861.30350875,8785970.207082944,1028928.0693444784,3223415.4886774523,2870490.5772453323,654398.5200949216,2179886.525427951,2163801.625655342,500570.1715049619
26,4.25,16509604.091031265,39703251.66591984,10869277.542492589,1155903.5310706703,3466345.370779855,3049666.0556893693,702930.485001372,2305298.7831805204,2280799.7897205073,535061.0419699758
27,4.375,14968319.543859009,40917654.51993076,11072192.565624146,1329810.2347944214,3740743.415743941,3243901.256555269,757530.113486949,2439316.189821457,2404613.1336271903,573207.2584807152
28,4.5,12882133.654816309,42135097.02415597,10004147.666139992,1607259.1382874427,4055992.5844777925,3455961.9619266354,819934.3490822903,2583207.196438077,2536085.00857852,615876.468098933
29,4.625,13507723.708448049,43355605.79192767,8431188.655806206,2358472.0311399177,4426420.251264811,3689453.6269765305,892752.5595856523,2738543.195501232,2676225.6926946184,664287.3674709758
30,4.75,14945821.592420187,44579206.886782415,8970471.313139178,18643488.344588704,4875528.081887907,3949199.937883896,980170.6161339259,2907303.3976531522,2826259.5761985113,720229.0427047021
