Unnamed: 0,R0,SIR,SIRv2,SIRv025,SIRv00001,SEIRi4,SEIRe1,SEIRe4,SEIRi4v025,SEIRe1v025,SEIRe4v025,COVID
0,1.0,83355.237017262,250458.1477147596,42480.18328895301,44689.34968300953,43570.005444513736,156185.48230326647,141798.35491635874,31628.85597981564,117562.7221740047,119711.66270726312,25990.884992343814
1,1.125,96266.76717340123,290468.02076862525,49016.513229382625,51559.21736869025,49799.1368161916,178035.66739877904,161388.1758381169,36054.28554369748,133524.33186025868,135907.38998512755,29574.920977614256
2,1.25,109945.85558528377,333291.7104941647,55926.6099804875,58819.77621940954,56241.22950719306,200498.21309367323,181459.50434432912,40603.902396113466,149804.3674204647,152411.20992012793,33245.247716838254
3,1.375,124489.56138599403,379355.1403820074,63255.82623985501,66518.15747526773,62911.361967047684,223608.43482051656,202036.60859690554,45284.878211137984,166415.7927805409,169235.07193860027,37006.12307978372
4,1.5,140014.60365808898,429188.91792023764,71058.30552088961,74710.57148559569,69826.27302032697,247404.79396442548,223145.6389788485,50105.024415054046,183372.38003775603,186391.6344289529,40862.128071250525
5,1.625,156663.05803822717,483465.72646859195,79399.4119704622,83464.80062981584,77004.61496407526,271929.28298975783,244814.82791664003,55072.870616935856,200688.77806404626,203894.32195897348,44818.20037906374
6,1.75,174610.27886872573,543056.0635915756,88359.06243041293,92863.6113403472,84467.25680819072,297227.87136634917,267074.71694449,60197.75543930034,218380.58854687554,221757.38838440948,48879.67239204869
7,1.875,194076.1793728368,609114.3149728318,98036.39525244529,103009.52445884026,92237.65007337615,323351.0241898979,289958.41559233895,65489.93217843878,236464.4504567235,239995.98659205865,53052.3144223049
8,2.0,215341.7374591721,683217.423237479,108556.47597758503,114031.64940334424,100342.27330210288,350354.30819773127,313501.8976045871,70960.69229823265,254958.13408722507,258626.2457323438,57342.384010803326
9,2.125,238773.93151334475,767600.1557818528,120080.20904547599,126095.75594974637,108811.17652538692,378299.10347115906,337744.3411414044,76622.51049597049,273880.6460000486,277665.35692772677,61756.68237357847
10,2.25,264864.86659349577,865580.9942319498,132819.4912739779,139419.61864205764,117678.65393276788,407253.4437437038,362728.5210397391,82489.2160262155,293252.34642800863,297131.668598265,66302.61926657322
11,2.375,294296.0409191061,982400.492551641,147061.33134622403,154297.33763971934,126984.08276843437,437293.01425155305,388501.2629964694,88576.1962011744,313095.08095439355,317044.7927290395,70988.28782230472
12,2.5,328050.0350002301,1127069.3723556807,163208.16638910788,171139.7826348999,136772.9803200923,468502.3439549758,415113.97178709554,94900.63960322808,333432.32860373176,337425.7236220802,75822.5512564427
13,2.625,367619.0055842577,1317164.0938069224,181849.48249500126,190545.97471013054,147098.35078881873,500976.2394127843,442623.2484916978,101481.82868824428,354289.3688613422,358296.97093527124,80815.14377778537
14,2.75,415432.21399768366,1594992.8143100583,203899.36302414545,213439.02397006002,158022.4230049319,534821.5215794777,471091.61535527423,108341.49432721594,375693.4706013646,379682.70912182593,85976.78858843888
15,2.875,475854.13834035385,2120389.167984467,230889.58714148062,241352.48699538724,169618.92352389617,570159.1457210974,500588.3716227509,115504.24871776653,397674.1064649058,401608.9457579713,91319.33656965442
16,3.0,558012.6294691075,23178364.321803022,265692.9125528244,277125.2868914936,181976.09611206516,607126.8105634638,531190.609815712,122998.1184188905,420263.1969165894,424103.7116980649,96855.93016340067
17,3.125,686976.8195253911,23110900.81184916,314763.3828673984,326996.1352507338,195200.78252242622,645882.1987420276,562984.4299548048,130855.20664994947,443495.3890505163,447197.27654441004,102601.19815037688
18,3.25,1007171.3311175052,25140434.229010392,398728.4129827566,409954.4175759346,209424.0462608505,686607.0412131397,596066.3998756646,139112.5243967801,467408.37625744456,470922.3935865569,108571.48858913122
19,3.375,9303340.652417438,18846889.766032618,4404047.65833655,724491.7931320439,224809.09714458842,729512.2705746361,630545.3240289041,147813.0447420218,492043.26615696034,495314.5791831466,114785.14925534246
20,3.5,7265687.319585051,24577779.261923198,4409725.817584992,4120767.911283187,241562.74767921286,774844.6332941084,666544.4024256777,157007.056470264,517445.0058124156,520412.4325666835,121262.86770056553
21,3.625,9937682.560820125,23255880.11974036,4213679.442762733,3836766.66064337,259952.47660631806,822895.2863688922,704203.887779302,166753.92505599782,543662.8752754371,546258.0032993297,128028.08681807968
22,3.75,7206640.0978448,23538910.644496776,4607333.068295729,5143269.07825202,280332.7537259469,874011.1389813244,743684.3855018609,177124.4176386009,570751.0630749838,572897.2151621332,135107.5169734145
23,3.875,9152523.900126314,21043600.690316133,3842726.0512143834,4294492.224662066,303187.40060479235,928610.0631377226,785170.992722598,188203.82365990148,598769.340539954,600380.3572085395,142531.77294386984
24,4.0,9367999.842010103,21621005.35318616,4973606.400073427,5174865.916951767,329201.35639130266,987201.6738072133,828878.5460910747,200096.22208282386,627783.8560502602,628762.6551717287,150336.17404556758
25,4.125,8561998.351492397,22322180.661621723,4619535.597607993,4805888.030304256,359390.3518900611,1050416.3204764435,875058.3550768519,212930.4410999339,657868.0757585483,658104.9395396815,158561.76034192895
26,4.25,7294108.468885326,23025116.18931127,4593480.46107174,4778032.245968741,395355.5541242152,1119046.5205841295,924006.9558062926,226868.5858160973,689103.9044413441,688474.4306117871,167256.5989775875
27,4.375,7845021.901493055,23729828.277912974,4037847.148978357,3838132.529348547,439843.0313295149,1194107.8489161527,976077.6597440763,242118.5880045483,721583.0295228888,719945.6660123401,176477.48608499233
28,4.5,8287141.792846173,24436332.941936325,4178907.4504105784,4345722.8398171095,498188.2212083239,1276931.3931282046,1031696.0414718894,258953.29368701042,755408.543814205,752601.6028532982,186292.1973236641
29,4.625,8526149.373091493,25144645.86575507,4362983.285290073,4592499.932679641,583143.3488560984,1369309.7083750505,1091381.0966561208,277740.6560394346,790696.9193376438,786534.9355592623,196782.51399833118
30,4.75,8765698.902263515,23048796.629517652,4485423.978343291,4721360.916706824,742007.3245365683,1473738.3402906368,1155774.7594795234,298993.8204969985,827580.4275256476,821849.6820632418,208048.36939001875
