Unnamed: 0,R0,SIR,SIRv2,SIRv025,SEIRi4,SEIRe1,SEIRe4,SEIRi4v025,SEIRe1v025,SEIRe4v025,COVID
0,1.0,20298.41291331151,34504.45678851015,15114.332266599087,19721.219187724088,73632.023984411,72811.01960048317,17630.748133975572,67287.64571971027,68356.92699067006,23773.223067791492
1,1.125,23284.000394712482,39687.15290421169,17309.369679554828,22453.149001987644,83617.30524601214,82538.01501437793,19955.76154004307,76108.7879856039,77270.55086691638,26884.153710884893
2,1.25,26396.97296644993,45125.12934436612,19589.604106959854,25254.238552971838,93798.70216905494,92418.54228514938,22309.93782502629,85027.78277414832,86271.50344349408,30028.219850335514
3,1.375,29648.687169595007,50844.843228611106,21961.91712842715,28128.080594010793,104184.07295934518,102457.52597037712,24694.01787769968,94046.825407721,95361.51282125675,33206.13496554755
4,1.5,33052.08936243467,56877.09054101204,24434.059305524068,31078.55531899661,114781.75780396796,112660.13142864726,27108.7711841288,103168.18592575185,104542.35890877513,36418.63583109867
5,1.625,36622.02705515806,63258.01001394887,27014.80294476858,34109.861866969,125600.61911171456,123031.78077963137,29554.99731862809,112394.21251429402,113815.87551415617,39666.48354202862
6,1.75,40375.64039638706,70030.39526922248,29714.129978702273,37226.55426488029,136650.08604276695,133578.1702087532,32033.52753317186,121727.33513465982,123183.95254351401,42950.46459616392
7,1.875,44332.85992385342,77245.43627722836,32543.465121672303,40433.58258060942,147940.2038882473,144305.28875470618,34545.22645316019,131170.06936513472,132648.5383126904,46271.39203732577
8,2.0,48517.04718899719,84965.07057178611,35515.96805827627,43736.340219685815,159481.68894763003,155219.43873496668,37090.99388819883,140725.02047099374,142211.6419792853,49630.10666358505
9,2.125,52955.83048129748,93265.21984233406,38646.903561368694,47140.718500314906,171285.9896553285,166327.25798371658,39671.76676738137,150394.88771926065,151875.3361026129,53027.47830504831
10,2.25,57682.211603541546,102240.34480453125,41954.11589346875,50653.16989353563,183365.35483035055,177635.74409865448,42288.521209490085,160182.46895611106,161641.7593397184,56464.4071760383
